;;Economique;;;;Démographie;;;;Evironnement;Sociale;;
;;PIB par hab réel GDP (constant 2015 US$);;Trade (% of GDP);FBCF(% GDP);Taux de cr de la pop (annual %);Taux de mortalité. brut (pour 1 000 personnes);65 ans ou + en % de la pop;Taux de natalité (per 1.000 people);Emission de CO2 en Tonne/habitant;Heure de travail annuelle/ nbr moyen de personnes ayant emploi;taux de chomage en % de pop active;Depense de santé en % PIB
Year;Trend;GDP_pc;lag_GDP_pc;Trade;FBCF;POP_g;Dth_rate;Pop_65;Bth_rate;CO2_pc;HT_an;UNP_rate;Hth_pc_gdp
1970;1;14114.3158179076;;19.1505027658982;38.89371781;1.15164047221803;6.9;7.19769827285373;18.8;6.98;2243;1.15;4.27
1971;2;14456.8211953459;14114.3158179076;19.4949979621367;37.5119529;2.19425350665006;6.6;7.31965840602745;19.2;7.15;2239;1.225;4.379
1972;3;15455.1369428391;14456.8211953459;17.7597079538685;37.37195216;1.40077918128147;6.5;7.48132305753231;19.3;7.41;2228;1.416667;4.483
1973;4;16463.2791725065;15455.1369428391;18.8881828084114;39.86036792;1.40718874054303;6.6;7.66965006153681;19.4;8.25;2201;1.266667;4.364
1974;5;16046.7846823822;16463.2791725065;26.3328277114901;38.10043272;1.32958201880625;6.5;7.860290037295;18.6;8.03;2137;1.375;4.791
1975;6;16333.6748183256;16046.7846823822;24.0754388528729;35.54693163;1.27270755263251;6.3;8.06566069107407;17.1;7.6;2112;1.891667;5.298
1976;7;16801.9250306258;16333.6748183256;24.7882584527902;34.15827412;1.07155981022304;6.3;8.28450929292633;16.3;7.76;2128;2.008333;5.298
1977;8;17370.6165468412;16801.9250306258;23.1271358805034;33.03500325;0.968032726245575;6.1;8.52613558831806;15.5;7.9;2129;2.025;5.431
1978;9;18120.7284269821;17370.6165468412;19.3082416556354;33.303003;0.910030976022608;6.1;8.77987972060157;14.9;7.78;2123;2.241667;5.614
1979;10;18953.3339137399;18120.7284269821;22.6524277208331;34.6933586;0.846614502915837;6;9.04156680377251;14.2;7.9;2126;2.083333;5.733
1980;11;19334.3747442401;18953.3339137399;26.6493645048206;34.57920093;0.788153475885542;6.2;9.29872030751224;13.6;7.44;2121;2.008333;6.114
1981;12;20011.8292508853;19334.3747442401;27.046831592781;33.51215279;0.728460836014089;6.1;9.54834566305071;13;7.18;2106;2.208333;6.197
1982;13;20525.2958514713;20011.8292508853;26.7229126893106;32.37688531;0.693656149424745;6;9.8024602264576;12.8;6.91;2104;2.35;6.344
1983;14;21122.9648423051;20525.2958514713;24.5171928157615;31.27124234;0.695583303069267;6.2;10.0380289449486;12.7;6.91;2095;2.658333;6.407
1984;15;21912.1518618524;21122.9648423051;25.803500930353;30.85950355;0.648316736732903;6.2;10.264995372133;12.5;7.37;2108;2.708333;6.238
1985;16;22898.9942415023;21912.1518618524;24.1112612306927;30.5901991;0.625935963624604;6.3;10.5413719005067;11.9;7.16;2093;2.616667;6.353
1986;17;23527.7125188459;22898.9942415023;17.7990915149376;30.63515864;0.532357366362317;6.2;10.8551773820631;11.4;7.12;2097;2.758333;6.289
1987;18;24503.0845657802;23527.7125188459;16.7887846160853;31.81248041;0.482035496974784;6.2;11.1838522940648;11.1;7.13;2096;2.85;6.27
1988;19;26026.8648821107;24503.0845657802;16.8885147524671;33.4279742;0.416110342195181;6.5;11.5411156562292;10.8;7.63;2092;2.533333;5.999
1989;20;27199.939969537;26026.8648821107;18.5415137410981;34.19823256;0.399761164504292;6.4;11.9418720502786;10.2;7.83;2070;2.266667;5.792
1990;21;28422.2131195125;27199.939969537;19.3357137329228;34.95619182;0.33178288536374;6.7;12.3996605897915;10;8.51;2031;2.108333;5.661
1991;22;29308.274088137;28422.2131195125;17.7594512543168;34.64638824;0.392819832481862;6.7;12.8981764131666;9.9;8.57;1998;2.1;5.674
1992;23;29462.6539670948;29308.274088137;17.018068824019;33.3255316;0.371192387198527;6.9;13.4122782560121;9.8;8.62;1965;2.15;5.916
1993;24;29232.4397928178;29462.6539670948;15.7233391305175;31.68463767;0.32416759914373;7.1;13.9231270752069;9.6;8.54;1905;2.5;6.216
1994;25;29466.7552451756;29232.4397928178;15.8103062322757;30.62130945;0.279192363973672;7.1;14.4403485702924;10;8.94;1898;2.891667;6.463
1995;26;30171.1637924347;29466.7552451756;16.3901049340172;30.60586047;0.234590173412918;7.4;14.9631600789223;9.6;9;1884;3.15;6.173
1996;27;31046.1701544648;30171.1637924347;18.2538682255522;31.57566602;0.226884732460898;7.2;15.5087837165044;9.7;9.09;1892;3.35;6.012
1997;28;31276.1930771932;31046.1701544648;19.7835176233669;30.58371941;0.238271217591483;7.3;16.0812831216864;9.5;8.99;1865;3.4;6.289
1998;29;30795.0888900928;31276.1930771932;19.0031862223377;29.28258366;0.271729610231193;7.5;16.6570542146884;9.6;8.67;1842;4.108333;6.509
1999;30;30636.266116943;30795.0888900928;18.1256307166911;28.90206391;0.182586374140107;7.8;17.2237546118562;9.4;8.96;1810;4.683333;6.865
2000;31;31430.6311303282;30636.266116943;19.5623715839054;28.48714191;0.167275578113187;7.7;17.8048884489408;9.5;9.06;1821;4.716667;7.035
2001;32;31476.052066579;31430.6311303282;19.5596044720071;27.7309731;0.240952587521069;7.7;18.4193967231786;9.3;8.95;1809;5.033333;7.239
2002;33;31416.1241772435;31476.052066579;20.4471220661583;26.2604182;0.232527187105684;7.8;19.0245899250223;9.2;9.22;1798;5.375;7.352
2003;34;31830.2175849262;31416.1241772435;21.3261252678119;25.71335382;0.213980948779682;8;19.5687750153473;8.9;9.26;1799;5.258333;7.487
2004;35;32515.1158024317;31830.2175849262;23.6643534228975;25.32392748;0.0336622582725446;8.2;20.0610687813337;8.8;9.21;1785;4.716667;7.535
2005;36;33098.5474664872;32515.1158024317;26.2299545778565;25.90104403;0.00939209655766336;8.6;20.6044121547619;8.4;9.26;1777;4.425;7.658
2006;37;33531.5185630775;33098.5474664872;30.0163760986692;26.04468634;0.0633735894181335;8.6;21.2572911293989;8.7;9.08;1786;4.141667;7.687
2007;38;33990.0360341685;33531.5185630775;32.816578051879;25.40512686;0.114908847726211;8.8;21.9407321004338;8.6;9.36;1785;3.841667;7.779
2008;39;33557.6454041531;33990.0360341685;34.1294765412245;25.29281552;0.0484253945978966;9.1;22.5817563321146;8.7;8.83;1771;3.991667;8.089
2009;40;31651.0837739853;33557.6454041531;24.3901665338555;23.62429345;-0.0124946312294096;9.1;23.1658899836292;8.5;8.41;1714;5.066667;8.959
2010;41;32942.2020783725;31651.0837739853;28.4984726938389;22.61965942;0.0179605415195644;9.5;23.6005353278114;8.5;8.85;1733;5.05;9.063
2011;42;33011.13423011;32942.2020783725;30.1949607286296;23.3511623;-0.185226486410846;9.9;23.9777797284484;8.3;9.3;1728;4.583333;10.488
2012;43;33518.444936892;33011.13423011;30.4709109171752;23.7736493;-0.159710675844347;10;24.6474521902233;8.2;9.63;1745;4.35;10.672
2013;44;34239.8862473683;33518.444936892;33.9787686509511;24.55652696;-0.144271883387076;10.1;25.5814882963769;8.2;9.74;1734;4.025;10.674
2014;45;34386.905855287;34239.8862473683;37.4314345686579;25.08454909;-0.132694222147042;10.1;26.5269847082293;8;9.36;1729;3.591667;10.729
2015;46;34960.6393843385;34386.905855287;35.4274083544798;24.97145617;-0.106124993746747;10.3;27.3282004148449;8;9.07;1719;3.375;10.75
2016;47;35242.1993771881;34960.6393843385;31.3102468455884;24.76068429;-0.0511374152133631;10.5;27.9459201402714;7.8;8.98;1714;3.116667;10.659
2017;48;35861.9728545838;35242.1993771881;34.4232135721686;25.00734984;-0.081874296046114;10.8;28.4639936602532;7.6;8.88;1709;2.808333;10.656
2018;49;36138.5290824719;35861.9728545838;36.609931802107;25.26776759;-0.126880068088791;11;28.9016543595685;7.4;8.59;1680;2.441667;10.74
2019;50;36043.7844013365;36138.5290824719;35.2164181084145;25.54757857;-0.140464977878172;11.2;29.2798136767022;7;8.31;1644;2.35;10.97
2020;51;34603.2650564305;36043.7844013365;31.3679689783974;25.51745336;-0.294194617750067;11.1;29.5831784516048;6.8;7.88;1597.010834;2.775;11.005
2021;52;35507.5785877682;34603.2650564305;36.9405254256941;25.59399308;-0.459952415807642;11.7;29.7870899106731;6.6;7.95;1607.482979;2.816667;11.299
